"screen_name","text","stripped_text1"
"TomthunkitsMind","Molly: We still have people in the south dying in large numbers because they refuse to take the vaccine and I think itâ€™s because people like Joe Rogan see these anti-vaxxers as easy marksâ€¦ https://t.co/D2ycL3i7gx","molly we still have people in the south dying in large numbers because they refuse to take the vaccine and i think itâ€™s because people like joe rogan see these antivaxxers as easy marksâ€ "
"TomthunkitsMind","Molly: We still have people in the south dying in large numbers because they refuse to take the vaccine and I think itâ€™s because people like Joe Rogan see these anti-vaxxers as easy marksâ€¦ https://t.co/D2ycL3i7gx 03","molly we still have people in the south dying in large numbers because they refuse to take the vaccine and i think itâ€™s because people like joe rogan see these antivaxxers as easy marksâ€  "
"TomthunkitsMind","DONâ€™T PITY THE FOOL
Anti-vaccine Christian broadcaster Marcus Lamb dies at age 64 after contracting Covid-19. 
https://t.co/7Ur0zsZ1NZ 03","donâ€™t pity the foolantivaccine christian broadcaster marcus lamb dies at age  after contracting covid  "
"VboyMatt","@sadams_s Response:
Anti lockdown. At all costs. I will not comply. At all. Ever again. 
Anti masks. My husband is deaf. His world is silent. He can not communicate with people. How isolating. So thanks but shuv the info. 
Pro Vaccine.  This is the last booster I will get. 
Done."," responseanti lockdown at all costs i will not comply at all ever again anti masks my husband is deaf his world is silent he can not communicate with people how isolating so thanks but shuv the info pro vaccine  this is the last booster i will get done"
"HarryDenny","Why do people attend anti-vaccine protests? They must be very selfish or have a mistaken idea of what 'freedom' really is or have zero empathy for the health and wellbeing of all those around them. Whatever the motive they have lost any concept of reality and respect for us all.","why do people attend antivaccine protests they must be very selfish or have a mistaken idea of what freedom really is or have zero empathy for the health and wellbeing of all those around them whatever the motive they have lost any concept of reality and respect for us all"
"dream_tansy","How the slogans and symbols of the anti-vaccine movement offer an insight into the minds ofâ€¦ https://t.co/nHgPcKKj2K","how the slogans and symbols of the antivaccine movement offer an insight into the minds ofâ€ "
"Sokrateasing","@MagicKoala94 @P83265199 @NrthEastKngdm @lexfridman And heâ€™s questioning the non MSM narrative, which is exactly that, just a narrative - a conspiracy minded, anti-Biden, Anti-liberal, anti-vaccine, anti-authority narrative.  Most commenters here cannot question their own bias, the narrative their social media algorithms offer up","    and heâ€™s questioning the non msm narrative which is exactly that just a narrative  a conspiracy minded antibiden antiliberal antivaccine antiauthority narrative  most commenters here cannot question their own bias the narrative their social media algorithms offer up"
"UtterPrick","@AskVeraTTV 1) Everybody can get the vaccine, nobody works 100% of the time.
2) Many disabled / immunocompromised people can get the vaccine, for those who can't, it's imperative that others get vaccinated. I doubt Biden was referring to these people, but rather anti vaxxers.","  everybody can get the vaccine nobody works  of the time many disabled  immunocompromised people can get the vaccine for those who cant it imperative that others get vaccinated i doubt biden was referring to these people but rather anti vaxxers"
"Gill81300358","@Lynney167 @Greenfleeves @DrewLawDesign Anti-vaxer is a pejorative term invoking a visceral reaction. My friend is intelligent, deep thinking &amp; convinced that the vaccine will cause harm. He is evangelical &amp; tries to preach 'facts'. He is genuinely not jumping on a band wagon. He had Omi &amp; won't test for it. I love him","   antivaxer is a pejorative term invoking a visceral reaction my friend is intelligent deep thinking  convinced that the vaccine will cause harm he is evangelical  tries to preach facts he is genuinely not jumping on a band wagon he had omi  wont test for it i love him"
"MellingWorld","@piersmorgan If you'd have asked me a week ago if she was likely to get the vaccine, I would have said no. It is so easy to pick out the anti vaxxers. They have a history of being awkward, difficult, truculant people. They were know-alls and outsiders well before anyone had heard of Covid."," if youd have asked me a week ago if she was likely to get the vaccine i would have said no it is so easy to pick out the anti vaxxers they have a history of being awkward difficult truculant people they were knowalls and outsiders well before anyone had heard of covid"
"CitizenJournoTA","It's not going very well is it @pow_rebecca. First the heavy by-election defeat to the anti vaccine passports @LibDems. Now this <U+0001F447>

I can't ever remember the name of a British Prime Minister being abused by football fans during a match. Sign of the times.
https://t.co/BRRopIfkg5","it not going very well is it  first the heavy byelection defeat to the anti vaccine passports  now this ufi cant ever remember the name of a british prime minister being abused by football fans during a match sign of the times"
"higgins_dee","Small anti-vaccine cohort canâ€™t hold society hostage https://t.co/uREBsjUE7D via @IrishTimes","small antivaccine cohort canâ€™t hold society hostage  "
"saralivadeas","@robrotchell Because they have been bombarded by anti vaccine bullshit and they are genuinely scared."," because they have been bombarded by anti vaccine bullshit and they are genuinely scared"
"chuckM91356343","@KaMo1774 @_ThePeoplesNews So a person went to a small market with sign up that they are requiring vax pass in the enclosed market. Convenient that an anti vaccine protester happened to go there with a camera to film his denial of entry. Call when Walmart starts to kick people out","  so a person went to a small market with sign up that they are requiring vax pass in the enclosed market convenient that an anti vaccine protester happened to go there with a camera to film his denial of entry call when walmart starts to kick people out"
"MrsWill6","@piersmorgan How do you know someone is anti vaccine? They donâ€™t stop talking about it when you mention the word â€˜jabâ€™."," how do you know someone is anti vaccine they donâ€™t stop talking about it when you mention the word â€˜jabâ€™"
"sadams_s","@VboyMatt feedback on your bio here:
- Anti Lockdown. 
Who isn't! nobody want to need an emergency measure like a Knockdown! 
- Anti Mask. 
Daft. Fix this via information.
- Pro Vaccine. 
Good :-) 
Pro living.
 +1 
I'd add: Pro a healthy life for all."," feedback on your bio here anti lockdown who isnt nobody want to need an emergency measure like a knockdown  anti mask daft fix this via information pro vaccine good  pro living  id add pro a healthy life for all"
"iangordon1959","Anti vaxxers should butt out. Get on with your own agenda on this but donâ€™t expect people to support a lockdown caused in part by your in actions and itâ€™s criminal you are trying to stop others getting vaccine https://t.co/Yq93ortGLv","anti vaxxers should butt out get on with your own agenda on this but donâ€™t expect people to support a lockdown caused in part by your in actions and itâ€™s criminal you are trying to stop others getting vaccine "
"Lynneth1000000","Even though I agree with it, itâ€™s still propaganda. People should be allowed to make up their own minds, and not be forced. But, equally a lot of people are anti-mask and anti-vaccine because of stupid propaganda from the other side. I just want fair and impartial information. https://t.co/peEoWnMJk7","even though i agree with it itâ€™s still propaganda people should be allowed to make up their own minds and not be forced but equally a lot of people are antimask and antivaccine because of stupid propaganda from the other side i just want fair and impartial information "
"oldlife","how will the hospitals ever cope?

The Health Secretary [said] 10% of the population (more than five million people) have still not taken up the offer of the vaccine, and that around nine out of 10 of those needing the most hospital care were unvaccinated https://t.co/cWxW0hC4Bo","how will the hospitals ever copethe health secretary said  of the population more than five million people have still not taken up the offer of the vaccine and that around nine out of  of those needing the most hospital care were unvaccinated "
"Brexiteer1234","This will be a difficult read for those who chose not to have the Covid vaccines. The unvaccinated must pay a price for their anti-social behaviour. | Conservative Home https://t.co/saGFi45Fdg","this will be a difficult read for those who chose not to have the covid vaccines the unvaccinated must pay a price for their antisocial behaviour  conservative home "
"SikhForTruth","""The Government should return to original Plan B proposal, remove negative LTF option + extend the [vaccine passport] requirements to all hospitality venues. We should discriminate between those who have acted responsibly with those who have refused.""

https://t.co/u6wo1C56UM","the government should return to original plan b proposal remove negative ltf option  extend the vaccine passport requirements to all hospitality venues we should discriminate between those who have acted responsibly with those who have refused"
"RobinSMessing","@GOP 4) But here is a fun fact. People in counties that supported Trump have died of Covid at a much higher rate than people in anti-Trump counties. Why is that? It's not like Trumpanzees follow the Democrats lead.

https://t.co/TTA6yOLJtU","  but here is a fun fact people in counties that supported trump have died of covid at a much higher rate than people in antitrump counties why is that it not like trumpanzees follow the democrats lead"
"RobinSMessing","@Lucente4Liberty 9) But since you are into graphs, check out the graphs in this study. People in counties that voted heavily for Trump are significantly more likely to die of Covid than people in anti-Trump counties.

https://t.co/TTA6yOLJtU","  but since you are into graphs check out the graphs in this study people in counties that voted heavily for trump are significantly more likely to die of covid than people in antitrump counties"
"CountingJack","Why are some people acting like thereâ€™s some â€œother sideâ€ to this vaccine thing? 

I mean I KNOW itâ€™s mainly people covering their ass because there are too many anti-vaxxers out there, but still.","why are some people acting like thereâ€™s some â€œother sideâ€ to this vaccine thing i mean i know itâ€™s mainly people covering their ass because there are too many antivaxxers out there but still"
"NwaigboOdera","@spakhm They are devoutly anti-authority, not anti-vax. You could substitute the vaccine for any other quasi-compulsory action and they would act the same. This appears to stem from a deeply rooted distrust for public institutions, tech giants, etc."," they are devoutly antiauthority not antivax you could substitute the vaccine for any other quasicompulsory action and they would act the same this appears to stem from a deeply rooted distrust for public institutions tech giants etc"
"DailyGrindExtra","@KeithLangham2 Anti-vaxxers have been around for 200 years. They shouted down 19th   century vaccine for smallpox; fought against flu vaccine;warned against one for diphtheria,tetanus and whooping  cough in children. They really don't like needles,do they?"," antivaxxers have been around for  years they shouted down th   century vaccine for smallpox fought against flu vaccinewarned against one for diphtheriatetanus and whooping  cough in children they really dont like needlesdo they"
"yaiyi66","@BioStocks $MRNA authorized nothing Â«Â Moderna says their dose of it s covid vaccine offer higher protectionÂ against OmicronÂ Â» in a laboratoryâ€™s test. Surprising ? Not really because Pfizer announced the same recently ! This communication race doesnâ€™t help to anti Vax to get vaccinated.."," mrna authorized nothing ââ moderna says their dose of it s covid vaccine offer higher protectionâ against omicronâ â in a laboratoryâ€™s test surprising  not really because pfizer announced the same recently  this communication race doesnâ€™t help to anti vax to get vaccinated"
"GhandiPolitical","@philosophytweet That's how I judge anti-mask/vaccine-'brigade' .. <U+0001F637><U+0001F637><U+0001F637><U+0001F499><U+0001F644><U+0001F614>"," that how i judge antimaskvaccinebrigade  ufufufufufuf"
"prothelios","@GBNEWS has gone full establishment.

They're now using the 'anti-vaxxers' term, as though deciding against this experimental medication with side-effects for significant numbers of people makes you an ""anti-vaxxer"" <U+0001F602>

I'm remaining covid-vaccine free.

#strictly #uk #nhs https://t.co/8p2aOJP9ww"," has gone full establishmenttheyre now using the antivaxxers term as though deciding against this experimental medication with sideeffects for significant numbers of people makes you an antivaxxer ufim remaining covidvaccine freestrictly uk nhs "
"Astraea1974","The one thing I love about lonnng vaccine queues is seeing the huge numbers of people who have no truck with anti vaxxers and their bullshit. <U+0001F4AA><U+0001F3FC>","the one thing i love about lonnng vaccine queues is seeing the huge numbers of people who have no truck with anti vaxxers and their bullshit ufaauffc"
"mkrivich","Anti-Vaxxers and Science Deniers- Not Getting Vaccinated Will Doom Control of COVID-19 : #vaccination, #vaccine, #covid19, #pandemic, #herdimmunity, #life, #normalicy, #antivaxxers, #deltavariant, #blog, #blogging, #lifestyle https://t.co/bDzh8H3OFZ","antivaxxers and science deniers not getting vaccinated will doom control of covid  vaccination vaccine covid pandemic herdimmunity life normalicy antivaxxers deltavariant blog blogging lifestyle "
"LogicalFan","Anti-vaxxers booking jab appointments that they don't turn up to so they stop others from getting their jabs.

These same c*nts will start crying if vaccine passports become mandatory. This level of stupidity will get us there faster.","antivaxxers booking jab appointments that they dont turn up to so they stop others from getting their jabsthese same cnts will start crying if vaccine passports become mandatory this level of stupidity will get us there faster"
"hettiewagtail","Anti vaxxers apparently adding to their fight for freedom by booking appointments for the vaccine to block people getting it. <U+0001F643><U+0001F621>","anti vaxxers apparently adding to their fight for freedom by booking appointments for the vaccine to block people getting it ufuf"
"PeterBo49858290","Experts unpick symbols and slogans at anti-COVID vaccination mandate protest in Perth https://t.co/rofFEtknlB","experts unpick symbols and slogans at anticovid vaccination mandate protest in perth "
"TT202021","@SirKorma Blocked me even though I explained Iâ€™m vaccinated but defend someoneâ€™s choice whether or not to have the vaccine. Called me an â€œanti-vaxxerâ€ which was a new one!"," blocked me even though i explained iâ€™m vaccinated but defend someoneâ€™s choice whether or not to have the vaccine called me an â€œantivaxxerâ€ which was a new one"
"PrisonPlanet","A video out of New York shows an anti-vaccine mandate protester being arrested by police after refusing to show a COVID pass to buy food.

https://t.co/8YayGy9AMb","a video out of new york shows an antivaccine mandate protester being arrested by police after refusing to show a covid pass to buy food"
"abayagxng","People are something else. If you want to be anti-vaxxers thatâ€™s fine just leave people who actually want to be vaccinated alone and let them get the vaccine. https://t.co/FYgGL47NQw","people are something else if you want to be antivaxxers thatâ€™s fine just leave people who actually want to be vaccinated alone and let them get the vaccine "
"JakCallamB","@GBNEWS How would you know they are anti vaxxers? You're just speculating, did you ring them back and ask them if they are anti vaxx? Each one? Sounds like this is more fictional division by the media(and government) to dehumanise people who don't want the vaccine. How much Â£ per story?"," how would you know they are anti vaxxers youre just speculating did you ring them back and ask them if they are anti vaxx each one sounds like this is more fictional division by the mediaand government to dehumanise people who dont want the vaccine how much â per story"
"TGColtonUE","@ChasetopherJabs @CNBCnow Iâ€™m the breadwinner in my family. Thatâ€™s why. Iâ€™m not so much saying freedoms being stripped as Iâ€™m saying the mandates are anti science. Lockdowns didnâ€™t work. Masks didnâ€™t work. Theyâ€™re forcing people with natural immunity to get a vaccine they donâ€™t need. Follow the science","  iâ€™m the breadwinner in my family thatâ€™s why iâ€™m not so much saying freedoms being stripped as iâ€™m saying the mandates are anti science lockdowns didnâ€™t work masks didnâ€™t work theyâ€™re forcing people with natural immunity to get a vaccine they donâ€™t need follow the science"
"Matthew_Wyn97","At the end of the day it's people choice to get the vaccine or not but anti vaxxers taking sh*t and scaring others from getting the vax draws the line","at the end of the day it people choice to get the vaccine or not but anti vaxxers taking sht and scaring others from getting the vax draws the line"
"god_of_thearena","@IO83MZero @walrozt Well why did you reply to my post?? And how is it antivax when I myself have had the vaccine and so has my wife? My original post was about not liking the push on parents for children getting vaccinated and how if you don't as a parent you get labelled an anti vaxer.","  well why did you reply to my post and how is it antivax when i myself have had the vaccine and so has my wife my original post was about not liking the push on parents for children getting vaccinated and how if you dont as a parent you get labelled an anti vaxer"
"johnnjenga","I personally know three people who have been fully vaccinated who keep it a secret and claim that they are not vaccinated. One of them says he can't tell his family because the family is anti-vaccine. Another one can't mention to friends because he does not want to lose friends.","i personally know three people who have been fully vaccinated who keep it a secret and claim that they are not vaccinated one of them says he cant tell his family because the family is antivaccine another one cant mention to friends because he does not want to lose friends"
"WinstonWeed","@spacerspencer @mikeysjfc @CiaranMcMichael @ChrisTruemanUTD @Jess07037502 @jon_trickett Plasters dont stop bacteria - they create a barrier. Still can be infected. 
Anti virus is like a vaccine - THEY PREVENT viruses. Correct. They dont reduce symptoms or they have failed.","      plasters dont stop bacteria  they create a barrier still can be infected anti virus is like a vaccine  they prevent viruses correct they dont reduce symptoms or they have failed"
"TZAlwanOfficial","Yo @Twitter is there a way to stop literally everything Covid, mask or vaccine related from showing on my feed? Both pro &amp; anti vax/mask people make me lose faith in humanity with their absurd arguments &amp; lack of respect for each other. 
#ANTIMASKvsMASK trending proves my point","yo  is there a way to stop literally everything covid mask or vaccine related from showing on my feed both pro  anti vaxmask people make me lose faith in humanity with their absurd arguments  lack of respect for each other antimaskvsmask trending proves my point"
"rumpel_____","At the end of the 4th session, my psychologist, whom I went to with the hope of convincing me for the vaccine, became ""anti-vaccine"" - as the media put it today <U+0001F602>
After all, they are rational people.  <U+0001F60F> Welcome to Data Scientists World!#VaccineMandate","at the end of the th session my psychologist whom i went to with the hope of convincing me for the vaccine became antivaccine  as the media put it today ufafter all they are rational people  uff welcome to data scientists worldvaccinemandate"
"neoalarm","ppl need to realize this pandemic is never gonna go away at this rate. i said this a year ago that we will prob need vaccine mandates bc theres too many anti-vaxxers. no idea why ppl are acting shocked at the vaccination numbers now","ppl need to realize this pandemic is never gonna go away at this rate i said this a year ago that we will prob need vaccine mandates bc theres too many antivaxxers no idea why ppl are acting shocked at the vaccination numbers now"
"Futurefox2","â€œ9 out of 10 seriously Iâ€™ll in hospital are unvaccinated!â€ Those blocking appts should be arrested, we know who they are by their NHS number. It is a serious crime to prevent others getting a life saving vaccine.

Anti-vaxxers block-booking to disrupt jabs https://t.co/knY2SzJmyy","â€œ out of  seriously iâ€™ll in hospital are unvaccinatedâ€ those blocking appts should be arrested we know who they are by their nhs number it is a serious crime to prevent others getting a life saving vaccineantivaxxers blockbooking to disrupt jabs "
"_swcoach","Pandemic of the unvaccinated.. get the bloody vaccine, why should I have to suffer restrictions because of fuckwit anti vaxxers https://t.co/4FVf7xGb0p","pandemic of the unvaccinated get the bloody vaccine why should i have to suffer restrictions because of fuckwit anti vaxxers "
"xourbo","@ScottTerrioHMA there have been anti vaxxers since literally the first vaccine was invented."," there have been anti vaxxers since literally the first vaccine was invented"
"Perrybr231","@tweeter90001 @duckman2021 @catturd2 @SenWarren Ride? You mean like you demanded people to â€œjust get a vaccineâ€.  Seems to me the pro jab are the rude and angry ones.  And stop calling people anti vaccine.  I have zeroâ€¦ZEEO  need for a vaccine when I have natural antibodies that protect me much better than fake antibodies","    ride you mean like you demanded people to â€œjust get a vaccineâ€  seems to me the pro jab are the rude and angry ones  and stop calling people anti vaccine  i have zeroâ€zeeo  need for a vaccine when i have natural antibodies that protect me much better than fake antibodies"
"johnnyjboyo","@Telegraph doing HMGs bidding &amp; promoting false scare stories that people being denied â€˜life savingâ€™ vaccinations by anti-vaxers. They rename the No Vaccine Passport March as anti vax, pausing to show rioting by embedded anarchists that these marches attract. No comments allowed."," doing hmgs bidding  promoting false scare stories that people being denied â€˜life savingâ€™ vaccinations by antivaxers they rename the no vaccine passport march as anti vax pausing to show rioting by embedded anarchists that these marches attract no comments allowed"
"spacerspencer","@WinstonWeed @mikeysjfc @CiaranMcMichael @ChrisTruemanUTD @Jess07037502 @jon_trickett Eases - can still sunburn with sun cream. Plasters donâ€™t ease symptoms lol they stop bacteria getting in wounds if anything. Anti virus is the vaccine of the computer","      eases  can still sunburn with sun cream plasters donâ€™t ease symptoms lol they stop bacteria getting in wounds if anything anti virus is the vaccine of the computer"
"spacerspencer","@CiaranMcMichael @ChrisTruemanUTD @mikeysjfc @Jess07037502 @jon_trickett If your body creates anti bodyâ€™s from injecting a tiny volume of a viral infection into you, which in turn reduces symptoms of said infection going forward, thatâ€™s a vaccine my friend","     if your body creates anti bodyâ€™s from injecting a tiny volume of a viral infection into you which in turn reduces symptoms of said infection going forward thatâ€™s a vaccine my friend"
"ChuninVesment","@squawksquare Moderna just released that a third dose of Covid-19 vaccine increases anti-body levels by 37 times against the omicron variant."," moderna just released that a third dose of covid vaccine increases antibody levels by  times against the omicron variant"
"hannahforest","I think it's okay to encourage people to have the vaccine, but it's definitely not okay for anti-vaxxers to spread misformation. There are people lying in cemeteries right now because they chose to believe nonsense on the internet over proper scientific advice. #Coronavirus","i think it okay to encourage people to have the vaccine but it definitely not okay for antivaxxers to spread misformation there are people lying in cemeteries right now because they chose to believe nonsense on the internet over proper scientific advice coronavirus"
"TheSoufanCenter","The Omicron variant of the coronavirus is already forcing vaccine mandates and new waves of lockdowns in countries worldwide, fueling violent protests from anti-vaxxers and anti-government extremists. #IntelBrief #ViolentExtremism #COVID-19
https://t.co/OhvA57dRzZ","the omicron variant of the coronavirus is already forcing vaccine mandates and new waves of lockdowns in countries worldwide fueling violent protests from antivaxxers and antigovernment extremists intelbrief violentextremism covid"
"VolhardDogFood","<U+0001F6A8>TODAY ONLY: <U+0001F6A8> Save 20% on our homeopathic Anti-Vaccinosis formula. <U+0001F436>Remove  associated vaccine side effects without removing any vaccine benefits.

<U+0001F449> Use Coupon Code: 9LADIESDANCING<U+0001F448>

<U+0001F6CD>https://t.co/rLLDWEwlix <U+0001F6CD> 

*Only 12/20/21 from 12 AM until 11:59 PM ET https://t.co/I9Syj85QJB","ufatoday only ufa save  on our homeopathic antivaccinosis formula ufremove  associated vaccine side effects without removing any vaccine benefitsuf use coupon code ladiesdancingufufcd ufcd only  from  am until  pm et "
